time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-08-27T01:07:28.240Z,19.455,-67.474,29,3.16,md,17,292,1.052,0.42,pr,pr2017239000,2017-08-27T03:07:20.270Z,"113km NNW of San Antonio, Puerto Rico",earthquake,2.31,26.66,0.19,9,reviewed,pr,pr
2017-08-27T00:22:38.980Z,35.7927,-98.5691,7.49,2.8,mb_lg,,41,0.176,0.29,us,us2000ac62,2017-08-27T21:43:40.109Z,"15km WSW of Watonga, Oklahoma",earthquake,1.8,7.7,0.077,44,reviewed,us,us
2017-08-27T00:02:23.220Z,-10.397,111.0684,19.59,5.5,mb,,46,2.526,1.11,us,us2000ac5g,2017-08-27T02:05:42.223Z,"237km S of Ngulung Wetan, Indonesia",earthquake,5,4.1,0.055,114,reviewed,us,us
2017-08-26T23:33:13.260Z,14.3864,-91.9893,80.5,4.7,mb,,162,0.316,1.05,us,us2000ac50,2017-08-27T13:22:13.064Z,"12km NW of Champerico, Guatemala",earthquake,8.2,7.2,0.05,120,reviewed,us,us
2017-08-26T22:52:09.425Z,54.6374,-160.7062,7.3,3.4,ml,,,,0.61,ak,ak16689998,2017-08-27T00:23:50.980Z,"75km WSW of Chernabura Island, Alaska",earthquake,,1.1,,,reviewed,ak,ak
2017-08-26T21:50:58.860Z,-47.2535,160.0167,10,5.4,mww,,63,4.711,0.78,us,us2000ac49,2017-08-26T22:09:51.040Z,"North of Macquarie Island",earthquake,8.1,1.8,0.073,18,reviewed,us,us
2017-08-26T21:24:35.710Z,-23.1295,-177.0299,205.22,4.9,mb,,112,6.143,1.12,us,us2000ac44,2017-08-26T21:46:37.040Z,"285km SW of Vaini, Tonga",earthquake,9.1,7.1,0.057,97,reviewed,us,us
2017-08-26T20:49:17.020Z,1.257,122.5962,10,4.6,mb,,69,1.819,0.87,us,us2000ac3m,2017-08-26T23:22:03.040Z,"67km N of Sidomulyo, Indonesia",earthquake,4.4,1.9,0.105,27,reviewed,us,us
2017-08-26T19:40:23.460Z,-18.9017,-177.9147,513.78,4.3,mb,,80,3.999,0.93,us,us2000ac3d,2017-08-26T21:26:31.040Z,"210km NNE of Ndoi Island, Fiji",earthquake,10.8,6.6,0.068,61,reviewed,us,us
2017-08-26T18:28:11.050Z,19.038,-68.3646,24,3.02,md,10,286,0.5244,0.21,pr,pr2017238009,2017-08-26T21:14:45.181Z,"50km N of Punta Cana, Dominican Republic",earthquake,2.02,15.25,0.24,9,reviewed,pr,pr
2017-08-26T18:16:07.799Z,60.1696,-141.0265,1.5,2.7,ml,,,,0.69,ak,ak16686559,2017-08-26T18:20:55.713Z,"78km E of Cape Yakataga, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-08-26T17:26:48.850Z,19.3441,-64.7643,25,2.56,md,3,329,1.1589,0.23,pr,pr2017238008,2017-08-26T21:14:11.789Z,"103km N of Road Town, British Virgin Islands",earthquake,2.6,21.11,0.55,2,reviewed,pr,pr
2017-08-26T16:45:02.300Z,29.9873,-104.7204,5,3.7,mwr,,159,0.828,0.93,us,us2000ac2n,2017-08-26T18:46:15.010Z,"55km NNW of Ojinaga, Mexico",earthquake,2.9,2,0.058,29,reviewed,us,us
2017-08-26T15:30:41.790Z,2.4956,95.8456,10,4.6,mb,,195,2.095,1.13,us,us2000ac2d,2017-08-26T15:52:09.040Z,"59km W of Sinabang, Indonesia",earthquake,7.9,2,0.116,22,reviewed,us,us
2017-08-26T14:08:45.470Z,-18.4789,-71.3477,10,4.2,mb,,192,0.976,1.39,us,us2000ac1x,2017-08-26T15:35:00.040Z,"92km S of Ilo, Peru",earthquake,6.4,2,0.237,5,reviewed,us,us
2017-08-26T14:06:23.210Z,36.2748,-97.5088,4.51,2.9,mb_lg,,26,0.207,0.18,us,us2000ac1w,2017-08-26T23:57:37.691Z,"19km W of Perry, Oklahoma",earthquake,0.9,6.3,0.057,81,reviewed,us,us
2017-08-26T13:52:11.820Z,18.9976,-68.3653,92,3.65,md,14,284,0.484,0.48,pr,pr2017238006,2017-08-27T17:42:03.040Z,"17km ENE of Boca de Yuma, Dominican Republic",earthquake,8.91,5.77,0.27,17,reviewed,pr,pr
2017-08-26T12:53:10.050Z,36.4513,-98.7419,5,2.8,mb_lg,,69,0.221,0.55,us,us2000ac1q,2017-08-26T13:03:34.040Z,"31km NW of Fairview, Oklahoma",earthquake,1.8,2,0.061,70,reviewed,us,us
2017-08-26T12:24:28.630Z,35.2883333,-117.4433333,0.25,2.49,ml,36,54,0.2447,0.16,ci,ci37984576,2017-08-26T13:06:11.207Z,"20km ESE of Johannesburg, CA",earthquake,0.24,31.61,0.135,25,automatic,ci,ci
2017-08-26T10:18:55.320Z,36.6171,-98.3479,4.38,2.8,mb_lg,,94,0.216,0.11,us,us2000ac19,2017-08-26T10:35:46.040Z,"10km NW of Helena, Oklahoma",earthquake,1.1,2.5,0.065,61,reviewed,us,us
2017-08-26T10:03:02.060Z,19.3728,-65.139,63,3,md,7,287,1.0749,0.33,pr,pr2017238005,2017-08-26T13:19:34.254Z,"116km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,5.87,14.08,0.4,4,reviewed,pr,pr
